"from","to","combined_score","target"
"9606.ENSP00000324124","9606.ENSP00000353007",258,"9606.ENSP00000324124"
"9606.ENSP00000342889","9606.ENSP00000353007",258,"9606.ENSP00000342889"
"9606.ENSP00000353007","9606.ENSP00000377969",258,"9606.ENSP00000377969"
"9606.ENSP00000353007","9606.ENSP00000379372",258,"9606.ENSP00000379372"
"9606.ENSP00000353007","9606.ENSP00000445162",258,"9606.ENSP00000445162"
"9606.ENSP00000275560","9606.ENSP00000353007",255,"9606.ENSP00000275560"
"9606.ENSP00000345849","9606.ENSP00000353007",251,"9606.ENSP00000345849"
"9606.ENSP00000353007","9606.ENSP00000501254",251,"9606.ENSP00000501254"
"9606.ENSP00000228682","9606.ENSP00000353007",248,"9606.ENSP00000228682"
"9606.ENSP00000347433","9606.ENSP00000353007",247,"9606.ENSP00000347433"
"9606.ENSP00000278198","9606.ENSP00000353007",246,"9606.ENSP00000278198"
"9606.ENSP00000353007","9606.ENSP00000387310",246,"9606.ENSP00000387310"
"9606.ENSP00000052754","9606.ENSP00000353007",245,"9606.ENSP00000052754"
"9606.ENSP00000261416","9606.ENSP00000353007",245,"9606.ENSP00000261416"
"9606.ENSP00000353007","9606.ENSP00000357189",243,"9606.ENSP00000357189"
"9606.ENSP00000353007","9606.ENSP00000369346",243,"9606.ENSP00000369346"
"9606.ENSP00000261799","9606.ENSP00000353007",242,"9606.ENSP00000261799"
"9606.ENSP00000262487","9606.ENSP00000353007",242,"9606.ENSP00000262487"
"9606.ENSP00000353007","9606.ENSP00000410042",241,"9606.ENSP00000410042"
"9606.ENSP00000269305","9606.ENSP00000353007",240,"9606.ENSP00000269305"
"9606.ENSP00000353007","9606.ENSP00000417914",240,"9606.ENSP00000417914"
"9606.ENSP00000219252","9606.ENSP00000353007",238,"9606.ENSP00000219252"
"9606.ENSP00000266014","9606.ENSP00000353007",238,"9606.ENSP00000266014"
"9606.ENSP00000353007","9606.ENSP00000359583",238,"9606.ENSP00000359583"
"9606.ENSP00000353007","9606.ENSP00000362183",238,"9606.ENSP00000362183"
"9606.ENSP00000353007","9606.ENSP00000496044",238,"9606.ENSP00000496044"
"9606.ENSP00000262866","9606.ENSP00000353007",237,"9606.ENSP00000262866"
