"from","to","combined_score","target"
"9606.ENSP00000275493","9606.ENSP00000311905",228,"9606.ENSP00000275493"
"9606.ENSP00000311905","9606.ENSP00000340796",228,"9606.ENSP00000340796"
"9606.ENSP00000311905","9606.ENSP00000354689",228,"9606.ENSP00000354689"
"9606.ENSP00000311905","9606.ENSP00000401907",228,"9606.ENSP00000401907"
"9606.ENSP00000311905","9606.ENSP00000406925",228,"9606.ENSP00000406925"
"9606.ENSP00000311905","9606.ENSP00000358617",227,"9606.ENSP00000358617"
"9606.ENSP00000311905","9606.ENSP00000422834",227,"9606.ENSP00000422834"
"9606.ENSP00000311905","9606.ENSP00000455561",227,"9606.ENSP00000455561"
"9606.ENSP00000252456","9606.ENSP00000311905",226,"9606.ENSP00000252456"
"9606.ENSP00000311905","9606.ENSP00000353732",226,"9606.ENSP00000353732"
"9606.ENSP00000311905","9606.ENSP00000367263",226,"9606.ENSP00000367263"
"9606.ENSP00000311905","9606.ENSP00000379915",226,"9606.ENSP00000379915"
"9606.ENSP00000311905","9606.ENSP00000498662",226,"9606.ENSP00000498662"
"9606.ENSP00000261883","9606.ENSP00000311905",225,"9606.ENSP00000261883"
"9606.ENSP00000305918","9606.ENSP00000311905",225,"9606.ENSP00000305918"
"9606.ENSP00000311905","9606.ENSP00000369889",225,"9606.ENSP00000369889"
"9606.ENSP00000219070","9606.ENSP00000311905",223,"9606.ENSP00000219070"
"9606.ENSP00000311905","9606.ENSP00000378431",223,"9606.ENSP00000378431"
"9606.ENSP00000307513","9606.ENSP00000311905",222,"9606.ENSP00000307513"
"9606.ENSP00000311905","9606.ENSP00000337797",222,"9606.ENSP00000337797"
"9606.ENSP00000311905","9606.ENSP00000469759",222,"9606.ENSP00000469759"
"9606.ENSP00000311905","9606.ENSP00000499683",222,"9606.ENSP00000499683"
"9606.ENSP00000248384","9606.ENSP00000311905",221,"9606.ENSP00000248384"
"9606.ENSP00000311905","9606.ENSP00000357065",221,"9606.ENSP00000357065"
"9606.ENSP00000311905","9606.ENSP00000361405",221,"9606.ENSP00000361405"
"9606.ENSP00000311905","9606.ENSP00000457421",221,"9606.ENSP00000457421"
"9606.ENSP00000228938","9606.ENSP00000311905",220,"9606.ENSP00000228938"
"9606.ENSP00000233813","9606.ENSP00000311905",220,"9606.ENSP00000233813"
"9606.ENSP00000311905","9606.ENSP00000376678",220,"9606.ENSP00000376678"
"9606.ENSP00000261405","9606.ENSP00000311905",219,"9606.ENSP00000261405"
"9606.ENSP00000262768","9606.ENSP00000311905",219,"9606.ENSP00000262768"
"9606.ENSP00000311905","9606.ENSP00000361177",219,"9606.ENSP00000361177"
"9606.ENSP00000311905","9606.ENSP00000380903",219,"9606.ENSP00000380903"
"9606.ENSP00000311905","9606.ENSP00000383301",219,"9606.ENSP00000383301"
"9606.ENSP00000311905","9606.ENSP00000405004",219,"9606.ENSP00000405004"
"9606.ENSP00000244728","9606.ENSP00000311905",218,"9606.ENSP00000244728"
"9606.ENSP00000311905","9606.ENSP00000358045",218,"9606.ENSP00000358045"
"9606.ENSP00000311905","9606.ENSP00000477716",218,"9606.ENSP00000477716"
"9606.ENSP00000252997","9606.ENSP00000311905",217,"9606.ENSP00000252997"
"9606.ENSP00000311905","9606.ENSP00000343924",217,"9606.ENSP00000343924"
