"from","to","combined_score","target"
"9606.ENSP00000429374","9606.ENSP00000446093",276,"9606.ENSP00000429374"
"9606.ENSP00000446093","9606.ENSP00000482732",276,"9606.ENSP00000482732"
"9606.ENSP00000341483","9606.ENSP00000446093",273,"9606.ENSP00000341483"
"9606.ENSP00000360532","9606.ENSP00000446093",273,"9606.ENSP00000360532"
"9606.ENSP00000320295","9606.ENSP00000446093",271,"9606.ENSP00000320295"
"9606.ENSP00000242804","9606.ENSP00000446093",270,"9606.ENSP00000242804"
"9606.ENSP00000358813","9606.ENSP00000446093",270,"9606.ENSP00000358813"
"9606.ENSP00000231572","9606.ENSP00000446093",269,"9606.ENSP00000231572"
"9606.ENSP00000281928","9606.ENSP00000446093",267,"9606.ENSP00000281928"
"9606.ENSP00000321971","9606.ENSP00000446093",267,"9606.ENSP00000321971"
"9606.ENSP00000020926","9606.ENSP00000446093",266,"9606.ENSP00000020926"
"9606.ENSP00000417132","9606.ENSP00000446093",266,"9606.ENSP00000417132"
"9606.ENSP00000297185","9606.ENSP00000446093",265,"9606.ENSP00000297185"
"9606.ENSP00000378699","9606.ENSP00000446093",264,"9606.ENSP00000378699"
"9606.ENSP00000446093","9606.ENSP00000483486",264,"9606.ENSP00000483486"
"9606.ENSP00000216911","9606.ENSP00000446093",263,"9606.ENSP00000216911"
"9606.ENSP00000264709","9606.ENSP00000446093",263,"9606.ENSP00000264709"
"9606.ENSP00000359300","9606.ENSP00000446093",263,"9606.ENSP00000359300"
"9606.ENSP00000360727","9606.ENSP00000446093",263,"9606.ENSP00000360727"
"9606.ENSP00000304643","9606.ENSP00000446093",261,"9606.ENSP00000304643"
"9606.ENSP00000378529","9606.ENSP00000446093",261,"9606.ENSP00000378529"
"9606.ENSP00000386880","9606.ENSP00000446093",261,"9606.ENSP00000386880"
"9606.ENSP00000419081","9606.ENSP00000446093",261,"9606.ENSP00000419081"
"9606.ENSP00000259818","9606.ENSP00000446093",258,"9606.ENSP00000259818"
"9606.ENSP00000309597","9606.ENSP00000446093",257,"9606.ENSP00000309597"
"9606.ENSP00000313752","9606.ENSP00000446093",257,"9606.ENSP00000313752"
"9606.ENSP00000354916","9606.ENSP00000446093",256,"9606.ENSP00000354916"
"9606.ENSP00000385478","9606.ENSP00000446093",256,"9606.ENSP00000385478"
"9606.ENSP00000446093","9606.ENSP00000499797",256,"9606.ENSP00000499797"
